elements,OMPM 10k,OMPQ 10k,FQ 10k,FM 10k,OMPM 100k,OMPQ 100k,FQ 100k,FM 100k,OMPM 1M,OMPQ 1M,FQ 1M,FM 1M,OMPM 10M,OMPQ 10M,FQ 10M,FM 10M,LMS,LQS,LB,OMPB
10000,0.049,0.017,0.04,0.018,0.352,0.018,0.01,0.011,0.242,0.018,0.012,0.015,0.306,0.015,0.016,0.012,0.191,0.011,0.58,0.209
20000,0.026,0.019,0.015,0.022,0.023,0.024,0.017,0.021,0.036,0.028,0.018,0.021,0.026,0.025,0.019,0.025,0.02,0.017,1.675,0.344
50000,0.055,0.036,0.036,0.063,0.057,0.048,0.042,0.049,0.056,0.05,0.043,0.051,0.051,0.056,0.054,0.063,0.039,0.017,7.95,1.073
75000,0.06,0.047,0.046,0.074,0.083,0.07,0.065,0.074,0.081,0.072,0.064,0.074,0.092,0.115,0.089,0.11,0.037,0.031,17.19,1.895
100000,0.081,0.061,0.057,0.098,0.09,0.09,0.084,0.099,0.106,0.092,0.087,0.098,0.101,0.085,0.107,0.131,0.054,0.083,29.822,2.874
250000,0.269,0.136,0.146,0.246,0.195,0.161,0.16,0.254,0.261,0.229,0.219,0.251,0.237,0.213,0.322,0.325,0.273,0.211,186.079,14.051
500000,0.518,0.252,0.277,0.457,0.374,0.282,0.293,0.459,0.515,0.454,0.419,0.464,0.591,0.56,0.439,0.449,0.567,0.443,744.462,54.768
1000000,0.574,0.478,0.478,0.777,0.744,0.507,0.527,0.771,0.91,0.863,0.71,0.739,0.773,0.714,0.713,0.518,0.812,0.703,,
10000000,5.745,3.365,12.445,5.233,4.756,3.398,3.437,4.675,4.356,3.903,4.134,4.122,5.216,6.723,6.802,4.718,5.422,6.612,,
20000000,9.868,5.669,72.833,12.611,8.849,6.274,6.511,9.406,10.63,6.506,7.161,8.796,9.548,12.261,12.386,8.24,9.014,18.336,,
50000000,22.134,14.248,30.312,21.441,21.612,19.717,27.786,25.895,22.567,15.646,14.988,21.428,24.377,29.504,43.127,26.016,21.962,88.271,,
100000000,44.673,37.953,70.722,45.245,46.433,41.838,91.996,44.541,44.307,40.493,32.443,49.373,92.64,62.763,134.97899999999998,149.782,91.039,315.824,,
