elements,OMPQ 10k,FQ 10k,OMPQ 100k,FQ 100k,OMPQ 1M,FQ 1M,OMPQ 10M,FQ 10M,LQS,LB,OMPB
10000,0.012,0.005,0.264,0.005,0.254,0.005,0.263,0.005,0.26,0.314,0.074
20000,0.014,0.007,0.015,0.008,0.015,0.008,0.013,0.008,0.008,1.365,0.2
50000,0.022,0.018,0.025,0.019,0.028,0.018,0.028,0.019,0.019,9.076,0.741
75000,0.025,0.038,0.037,0.028,0.04,0.03,0.038,0.028,0.028,20.712,1.621
100000,0.027,0.028,0.045,0.037,0.046,0.037,0.045,0.036,0.038,36.999,2.8
250000,0.064,0.072,0.075,0.071,0.106,0.095,0.104,0.094,0.095,232.213,15.999
500000,0.118,0.127,0.13,0.135,0.211,0.195,0.208,0.194,0.196,930.771,61.962
1000000,0.228,0.238,0.227,0.229,0.428,0.408,0.428,0.405,0.399,,
10000000,2.24,2.543,2.247,2.369,2.576,2.737,7.453,7.331,7.283,,
20000000,4.703,5.679,4.744,4.791,5.244,5.128,11.902,11.952,21.628,,
50000000,13.45,16.662,13.626,12.051,14.742,13.065,28.343,28.817,105.805,,
100000000,37.417,40.214,37.704,28.809,39.555,29.297,55.72,55.825,385.153,,
